gene,spearman_rna_protein,ok,wider_prior
ESR1,0.7984864192411362,True,False
ERBB2,0.6052456976985279,True,False
EGFR,0.6542712004976154,True,False
IGF1R,0.6195521459672403,True,False
PIK3CA,0.3122952519178934,True,False
AKT1,0.5553493676135185,True,False
MTOR,0.3471914451376089,True,False
PTEN,0.47823968484345847,True,False
KRAS,0.13641924113622225,False,True
BRAF,0.3185983827493261,True,False
MAP2K1,0.48227369447003793,True,False
MAPK1,0.32705351195815824,True,False
CCND1,,False,True
CDK4,0.4175886833641522,True,False
CDK6,0.6290586771718846,True,False
CDKN2A,0.4830499688990255,True,False
RB1,0.5499481650425047,True,False
E2F1,,False,True
MKI67,0.4677482894464026,True,False
CDKN1A,,False,True
