drug_a,drug_b,combination,almanac_breast_median_combo_score,almanac_breast_mean_combo_score,almanac_breast_max_combo_score,almanac_breast_min_combo_score,almanac_breast_positive_line_fraction,almanac_breast_lines_tested,almanac_breast_cell_lines,almanac_breast_synergy_support,drug_a_has_patient_model,drug_b_has_patient_model,patient_specific_pair_tier
6 thioguanine,methotrexate,6 thioguanine + methotrexate,-33,-30.4,19,-89,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
actinomycin d,methotrexate,actinomycin d + methotrexate,-62,-56.2,-1,-84,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
chlorambucil,methotrexate,chlorambucil + methotrexate,-30,-19,49,-51,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
melphalan,methotrexate,melphalan + methotrexate,-25,-31.8,2,-87,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,triethylenemelamine,methotrexate + triethylenemelamine,-22,-20.6,11,-39,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
altretamine,methotrexate,altretamine + methotrexate,-11,-31,-6,-107,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
5-fluorouracil,methotrexate,5-fluorouracil + methotrexate,-32,-30.6,5,-64,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
methotrexate,mithramycin,methotrexate + mithramycin,-26,-11.8,34,-48,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
hydroxyurea,methotrexate,hydroxyurea + methotrexate,-39,-29.75,6,-47,0.25,4,BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,uracil mustard,methotrexate + uracil mustard,26,21,32,1,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.911640819452422,FALSE,FALSE,not_patient_scored
methotrexate,mitotane,methotrexate + mitotane,-44.5,-45,-6,-85,0,4,BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dacarbazine,methotrexate,dacarbazine + methotrexate,-22,-22.2,12,-64,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,vinblastine,methotrexate + vinblastine,-21,-16,16,-46,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
megestrol acetate,methotrexate,megestrol acetate + methotrexate,-68,-66.4,-35,-97,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lomustine,methotrexate,lomustine + methotrexate,-17,-18.4,21,-64,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
daunorubicin,methotrexate,daunorubicin + methotrexate,-25,-35.8,-8,-91,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
azacitidine,methotrexate,azacitidine + methotrexate,-26,-20.6,7,-31,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,teniposide,methotrexate + teniposide,-32,-40.8,-3,-86,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
doxorubicin,methotrexate,doxorubicin + methotrexate,3.5,-2,29,-44,0.5,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.779245644265748,TRUE,FALSE,tier_B_one_drug_patient_scored
bleomycin,methotrexate,bleomycin + methotrexate,-37,-48.2,18,-131,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bendamustine,methotrexate,bendamustine + methotrexate,-41,-49.6,-23,-83,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
etoposide,methotrexate,etoposide + methotrexate,-31,-30,26,-117,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dexrazoxane,methotrexate,dexrazoxane + methotrexate,-3,-6.4,14,-40,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,rapamycin,methotrexate + rapamycin,-43.5,-33.3,35,-73,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
methotrexate,valrubicin,methotrexate + valrubicin,-3.5,-1.25,29,-27,0.5,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,mitoxantrone,methotrexate + mitoxantrone,-33,-27.8,18,-69,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,vinorelbine,methotrexate + vinorelbine,6,6,32,-13,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.802508137085966,FALSE,FALSE,not_patient_scored
docetaxel,methotrexate,docetaxel + methotrexate,-14,-13,35,-85,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
7 ethyl 10 hydroxycamptothecin,methotrexate,7 ethyl 10 hydroxycamptothecin + methotrexate,-48,-40.2,16,-79,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,pemetrexed,methotrexate + pemetrexed,6,-5.2,35,-42,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.802508137085966,FALSE,FALSE,not_patient_scored
methotrexate,vorinostat,methotrexate + vorinostat,7,-7.6,11,-64,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.810453762205629,FALSE,FALSE,not_patient_scored
exemestane,methotrexate,exemestane + methotrexate,16,5.4,48,-53,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.869519433275895,FALSE,FALSE,not_patient_scored
gefitinib,methotrexate,gefitinib + methotrexate,37,32.8,109,-25,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.941317250622248,FALSE,FALSE,not_patient_scored
fulvestrant,methotrexate,fulvestrant + methotrexate,-37,-21.4,39,-43,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
anastrozole,methotrexate,anastrozole + methotrexate,-43,-12.25,94,-57,0.25,4,BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
letrozole,methotrexate,letrozole + methotrexate,31,46,216,-80,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.926287574191078,FALSE,FALSE,not_patient_scored
methotrexate,zoledronate,methotrexate + zoledronate,-25,-8,58,-37,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dasatinib,methotrexate,dasatinib + methotrexate,-6,-13.6,-1,-31,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
everolimus,methotrexate,everolimus + methotrexate,-8,-10.75,35,-62,0.5,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,pazopanib,methotrexate + pazopanib,-15,-25.4,10,-81,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lapatinib,methotrexate,lapatinib + methotrexate,-18,-24.8,1,-74,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
methotrexate,sorafenib,methotrexate + sorafenib,-40,-35.2,55,-91,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lenalidomide,methotrexate,lenalidomide + methotrexate,12,-0.8,14,-47,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.847118514263833,FALSE,FALSE,not_patient_scored
methotrexate,raloxifene,methotrexate + raloxifene,-77,-67,-7,-118,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
abiraterone,methotrexate,abiraterone + methotrexate,-31,-40.8,-21,-90,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,sunitinib,methotrexate + sunitinib,-22,-20.6,-11,-31,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,vemurafenib,methotrexate + vemurafenib,-30,-30.6,19,-78,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
depsipeptide,methotrexate,depsipeptide + methotrexate,-41,-42.2,-28,-60,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,pralatrexate,methotrexate + pralatrexate,31,19.4,88,-70,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.926287574191078,FALSE,FALSE,not_patient_scored
methotrexate,vismodegib,methotrexate + vismodegib,-16,-19.8,42,-94,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
crizotinib,methotrexate,crizotinib + methotrexate,-49,-64.4,-33,-149,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
