dataset,source_key,source_organisation,source_page,release_or_version,retrieval_date,original_filename,local_path,file_size_bytes,sha256,licence_or_access_note,intended_role,required_for_nb00,verified,notes
DepMap,depmap,Broad Institute,https://depmap.org,,2026-08-22,CRISPRGeneEffect.csv,/Users/luke/Desktop/UCD/Class/Summer/AI-for-PM/final-project/v3/data/raw/depmap/CRISPRGeneEffect.csv,440646050.0,e610a4cefb13a82b5b256b47eb08b63ff14843f8dbd0fb164bc0a32688e5b89e,DepMap public,CRISPR essentiality / expression,True,True,symlinked from class-repo depmap_data/
DepMap,depmap_Model,Broad Institute,https://depmap.org,,2026-08-22,Model.csv,/Users/luke/Desktop/UCD/Class/Summer/AI-for-PM/final-project/v3/data/raw/depmap/Model.csv,697455.0,ea4e0b2a3bc806f81df62689a5ae75f1a100135727a3d7b8a4c7ccc8815183f8,DepMap public,CRISPR essentiality / expression,False,True,symlinked from class-repo depmap_data/
DepMap,depmap_OmicsCNGeneWGS,Broad Institute,https://depmap.org,,2026-08-22,OmicsCNGeneWGS.csv,/Users/luke/Desktop/UCD/Class/Summer/AI-for-PM/final-project/v3/data/raw/depmap/OmicsCNGeneWGS.csv,409005582.0,d2fe65b516802fb2b355b953fcc43dcb908840f275e9166c0dbd7defadca8a1d,DepMap public,CRISPR essentiality / expression,False,True,symlinked from class-repo depmap_data/
DepMap,depmap_OmicsExpressionTPMLogp1HumanProteinCodingGenes,Broad Institute,https://depmap.org,,2026-08-22,OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv,/Users/luke/Desktop/UCD/Class/Summer/AI-for-PM/final-project/v3/data/raw/depmap/OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv,305007605.0,0377be80c525fde98cbd2c6e8b06bdf2a4014a9683eb70182c1f8649d711021a,DepMap public,CRISPR essentiality / expression,False,True,symlinked from class-repo depmap_data/
DepMap,depmap_OmicsSomaticMutations,Broad Institute,https://depmap.org,,2026-08-22,OmicsSomaticMutations.csv,/Users/luke/Desktop/UCD/Class/Summer/AI-for-PM/final-project/v3/data/raw/depmap/OmicsSomaticMutations.csv,580755338.0,4d50634373578621bfb9f8ca69b38cfffc3f9b7abcdefd653044a675b856c520,DepMap public,CRISPR essentiality / expression,False,True,symlinked from class-repo depmap_data/
DepMap,depmap_primary-screen-replicate-collapsed-logfold-change,Broad Institute,https://depmap.org,,2026-08-22,primary-screen-replicate-collapsed-logfold-change.csv,/Users/luke/Desktop/UCD/Class/Summer/AI-for-PM/final-project/v3/data/raw/depmap/primary-screen-replicate-collapsed-logfold-change.csv,41254209.0,25efc741b372b30d38629cb139a388e989663fba597e55fff5f6c2bb7cdeb75a,DepMap public,CRISPR essentiality / expression,False,True,symlinked from class-repo depmap_data/
DepMap,depmap_primary-screen-replicate-collapsed-treatment-info,Broad Institute,https://depmap.org,,2026-08-22,primary-screen-replicate-collapsed-treatment-info.csv,/Users/luke/Desktop/UCD/Class/Summer/AI-for-PM/final-project/v3/data/raw/depmap/primary-screen-replicate-collapsed-treatment-info.csv,1185606.0,d649f207a437c9e9910572c5023d02f68a77c946f6e972c998b057160a3505e6,DepMap public,CRISPR essentiality / expression,False,True,symlinked from class-repo depmap_data/
metabric,metabric,cBioPortal,https://cbioportal-datahub.s3.amazonaws.com/brca_metabric.tar.gz,,2026-08-22,brca_metabric.tar.gz,data/raw/metabric/brca_metabric.tar.gz,510321901.0,6d4683477d6b37a2d7edbedc0df610f67bc456f99e5e1bef6219f37b633a55f7,public,METABRIC expression/CNA/clinical/methylation,True,True,
tcga_brca,tcga_brca,cBioPortal / TCGA,https://cbioportal-datahub.s3.amazonaws.com/brca_tcga_pan_can_atlas_2018.tar.gz,,2026-08-22,brca_tcga_pan_can_atlas_2018.tar.gz,data/raw/tcga_brca/brca_tcga_pan_can_atlas_2018.tar.gz,509019117.0,5544e1dd0e4fc22daacb868fb1aa41a4d7b0b8f6a350dc948a1f717926eac62f,public,TCGA-BRCA RNA + clinical (cBioPortal stand-in for GDC STAR if GDC client absent),True,True,
gdsc2,gdsc2,Sanger CancerRxGene,https://cog.sanger.ac.uk/cancerrxgene/GDSC_release8.5/GDSC2_fitted_dose_response_27Oct23.xlsx,,2026-08-22,GDSC2_fitted_dose_response_27Oct23.xlsx,data/raw/gdsc2/GDSC2_fitted_dose_response_27Oct23.xlsx,21330376.0,f950a7027be265f8a7a74220a27fd18cbd368485349bd8c2048e88bb1cd07560,public,GDSC2 dose-response for ODE fitting,True,True,
